City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Dunedin,NZ,-45.8742,170.5036,50.81,80,100,5.99,overcast clouds
268,Ulagan,RU,50.6321,87.9563,47.44,77,58,2.82,broken clouds
269,Miyako,JP,39.6367,141.9525,69.53,61,44,5.82,scattered clouds
270,Zalantun,CN,48.0,122.7167,60.94,50,98,9.91,overcast clouds
271,Suntar,RU,62.1444,117.6319,67.87,43,14,2.66,few clouds
272,Sao Filipe,CV,14.8961,-24.4956,72.81,76,6,9.37,clear sky
273,Hoa Binh,VN,20.8133,105.3383,84.09,76,54,0.49,broken clouds
274,Illapel,CL,-31.6308,-71.1653,57.88,85,3,2.24,clear sky
275,Hirara,JP,24.8,125.2833,79.07,83,75,2.3,broken clouds
276,Dentsville,US,34.064,-80.9582,84.2,48,1,6.91,clear sky
277,Kumluca,TR,36.3703,30.2869,68.7,71,0,3.15,clear sky
278,Colesberg,ZA,-30.72,25.0972,44.73,67,0,5.77,clear sky
279,Praia,CV,14.9215,-23.5087,71.6,78,40,14.97,scattered clouds
280,San Juan,AR,-31.5375,-68.5364,64.72,52,0,11.83,clear sky
281,Hirado,JP,33.3597,129.5531,69.15,65,1,11.05,clear sky
282,Obera,AR,-27.4871,-55.1199,70.43,76,86,3.42,overcast clouds
283,Caravelas,BR,-17.7125,-39.2481,73.76,86,98,5.93,overcast clouds
284,Ponta Delgada,PT,37.7333,-25.6667,59.0,77,20,4.61,few clouds
285,Srednekolymsk,RU,67.45,153.6833,57.15,31,55,17.63,broken clouds
286,Kenai,US,60.5544,-151.2583,52.03,90,90,9.22,light rain
287,Bacon,PH,13.0378,124.0411,85.53,71,22,3.36,few clouds
288,Bolobo,CD,-2.1667,16.2333,74.08,72,100,0.74,overcast clouds
289,Fairhope,US,30.523,-87.9033,80.64,74,75,4.61,broken clouds
290,Tottori,JP,35.5,134.2333,69.8,64,75,14.97,broken clouds
291,Agadez,NE,19.75,10.25,84.45,7,100,5.23,overcast clouds
292,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,20,8.05,few clouds
293,Branca,PT,40.7665,-8.4826,57.79,92,0,0.92,clear sky
294,Usatove,UA,46.533,30.6596,62.82,94,20,8.86,few clouds
295,Okhotsk,RU,59.3833,143.3,40.98,78,98,13.2,overcast clouds
296,Lahaina,US,20.8783,-156.6825,87.8,67,12,7.61,few clouds
297,Ridgecrest,US,35.6225,-117.6709,96.69,7,1,4.0,clear sky
298,Moncada,ES,39.5456,-0.3955,65.52,75,0,1.99,clear sky
299,Kinkala,CG,-4.3614,14.7644,75.2,88,100,3.44,overcast clouds
300,Narsaq,GL,60.9167,-46.05,50.0,29,1,12.66,clear sky
301,Radisici,BA,43.2219,17.5431,55.0,66,0,2.3,clear sky
302,Tabas,IR,33.5959,56.9244,80.46,23,0,2.93,clear sky
303,Amherst,US,41.3978,-82.2224,46.99,87,90,25.32,overcast clouds
304,Erzincan,TR,39.75,39.5,56.5,62,75,3.44,broken clouds
305,Nizwa,OM,22.9333,57.5333,84.54,21,74,5.17,broken clouds
306,Alcazar De San Juan,ES,39.3901,-3.2083,60.58,61,39,6.02,scattered clouds
307,Markova,UA,48.6758,24.4138,47.14,94,75,4.25,broken clouds
308,Svetlyy,RU,54.675,20.1347,42.85,92,16,6.11,few clouds
309,Mikun,RU,62.3547,50.0771,47.88,93,69,8.03,broken clouds
310,Riyadh,SA,24.6877,46.7219,89.65,17,0,0.0,clear sky
311,Half Moon Bay,US,37.4636,-122.4286,80.62,69,20,9.22,few clouds
312,Nelson Bay,AU,-32.7167,152.15,59.29,73,100,3.0,overcast clouds
313,Sioux Lookout,CA,50.1001,-91.917,62.98,23,20,6.91,few clouds
314,Maxixe,MZ,-23.8597,35.3472,62.83,75,0,10.31,clear sky
315,Kudahuvadhoo,MV,2.6708,72.8944,83.32,74,100,19.98,overcast clouds
316,Oistins,BB,13.0667,-59.5333,78.89,65,40,16.11,scattered clouds
317,Clyde River,CA,70.4692,-68.5914,32.23,93,1,4.61,clear sky
318,Dikson,RU,73.5069,80.5464,22.14,89,95,4.32,overcast clouds
319,Boende,CD,-0.2167,20.8667,71.69,91,52,1.9,broken clouds
320,Rovaniemi,FI,66.5,25.7167,38.61,60,90,8.05,overcast clouds
321,Tarauaca,BR,-8.1614,-70.7656,77.16,76,99,0.98,overcast clouds
322,Port Keats,AU,-14.25,129.55,81.75,38,6,12.37,clear sky
323,Opuwo,NA,-18.0607,13.84,59.56,32,0,6.8,clear sky
324,Caucasia,CO,7.9865,-75.1935,76.19,95,100,5.68,overcast clouds
325,Lebu,CL,-37.6167,-73.65,51.57,87,17,6.49,few clouds
326,Tiarei,PF,-17.5333,-149.3333,87.82,75,35,3.91,scattered clouds
327,Hameenlinna,FI,60.996,24.4643,43.14,86,6,6.17,clear sky
328,Zelenoborsk,RU,61.4669,64.0333,50.07,80,100,7.16,overcast clouds
329,Belomorsk,RU,64.5232,34.7668,34.14,97,40,5.32,scattered clouds
330,Annamalainagar,IN,11.4,79.7333,83.46,66,88,11.5,overcast clouds
331,Faanui,PF,-16.4833,-151.75,80.19,72,31,3.51,scattered clouds
332,El Zapote,MX,21.0667,-102.8,88.79,13,44,7.63,scattered clouds
333,Constitucion,CL,-35.3333,-72.4167,52.0,78,1,5.48,clear sky
334,Buzuluk,RU,52.7807,52.2635,62.38,70,100,4.76,overcast clouds
335,Catuday,PH,16.2923,119.8062,85.55,69,13,3.31,few clouds
336,Ashington,GB,50.9331,-0.3909,57.0,3,100,5.95,overcast clouds
